PID,GID,globalUltimateDuns,nameEn,nameCn,source,sourceType,industryCode,industryGroupCode,customerType,updateAt,globalUltimateFamilyTreeMembersCount,customLeval,abbr
302002030800020806,G00000000000000012,544940385,"China UnionPay Co., Ltd.",中国银联股份有限公司,集团139清单,1-价值贡献导向清单,Finance,银行行业（10）,中资出海,2026-05-11 11:38,287,s1,UnionPay
301988032105600316,G00000000000000014,654077502,"Ping An Insurance (Group) Company of China, Ltd.",中国平安保险（集团）股份有限公司,集团139清单,1-价值贡献导向清单,Finance,证券保险（5）,中资出海,2026-05-11 15:17,398,s1,PingAn
301982091500035411,G00000000000000010,653708479,China CITIC Group Corporation Limited,中国中信集团有限公司,集团139清单,1-价值贡献导向清单,Finance,银行行业（10）,中资出海,2026-05-11 15:05,597,s1,CITIC
112024093000071030,G00000000000000016,544920770,China Life Insurance (Group) Company,中国人寿保险（集团）公司,集团139清单,1-价值贡献导向清单,Finance,证券保险（5）,中资出海,未同步,0,s1,ChinaLife
302025011006130344,G00000000000000015,654510387,People's Insurance Company (Group) of China Limited,中国人民保险集团股份有限公司,集团139清单,1-价值贡献导向清单,Finance,证券保险（5）,中资出海,2026-05-11 15:20,857,s1,PICC
301998012200206105,G00000000000000017,420920381,China Chengtong Holdings Group Limited,中国诚通控股集团有限公司,集团139清单,1-价值贡献导向清单,Finance,证券保险（5）,中资出海,2026-05-11 15:22,408,s1,CCT
301995100400131431,G00000000000000018,527724684,"China Post Group Co., Ltd.",中国邮政集团有限公司,集团139清单,1-价值贡献导向清单,Transportation and Logistics,交通行业（16）,中资出海,未同步,0,s1,ChinaPost
302025072722434465,G00000000000000019,516741880,"China Changan Automobile Group Co., Ltd.",中国长安汽车集团有限公司,集团139清单,1-价值贡献导向清单,Automotive,交通行业（16）,中资出海,2026-05-11 15:28,394,s1,CCAG
302013031400090464,G00000000000000020,421309942,China Railway Group Limited,中国国家铁路集团有限公司,集团139清单,1-价值贡献导向清单,Transportation and Logistics,交通行业（16）,中资出海,2026-05-11 15:29,979,s1,ChinaRailway
301987040900131225,G00000000000000021,529665481,"China Southern Airlines Group Co., Ltd.",中国南方航空集团有限公司,集团139清单,1-价值贡献导向清单,Transportation and Logistics,交通行业（16）,中资出海,2026-05-11 15:29,660,s1,CSAH
302005120800095430,G00000000000000002,,China Communications Construction Company Limited,中国交通建设集团有限公司,集团139清单,1-价值贡献导向清单,Engineering and Construction,住建行业（7）,中资出海,未同步,-,s1,CCCC
201995021005590334,G00000000000000023,654510015,BYD Company Limited,比亚迪股份有限公司,集团139清单,1-价值贡献导向清单,Automotive,交通行业（16）,中资出海,2026-05-11 15:29,475,s1,BYD
302016020500020085,G00000000000000024,544392544,"COSCO Shipping Holdings Co., Ltd.",中国远洋海运集团有限公司,集团139清单,1-价值贡献导向清单,Transportation and Logistics,交通行业（16）,中资出海,2026-05-11 15:29,556,s1,COSCO
301953071500077547,G00000000000000022,,"China First Automobile Works Group Co., Ltd.",中国第一汽车集团有限公司,集团139清单,1-价值贡献导向清单,Automotive,交通行业（16）,中资出海,未同步,-,s1,FAW
301986080900146033,G00000000000000025,544648801,"China Eastern Airlines Group Co., Ltd.",中国东方航空集团有限公司,集团139清单,1-价值贡献导向清单,Transportation and Logistics,交通行业（16）,中资出海,2026-05-11 15:31,262,s1,CEAH
