UnitName,UnitCode,RegionCode
Brazil Unit,CMI_BR,Americas
China Mobile International (Australia) PTY Ltd,CMI_AU,APAC
China Mobile International (Germany) GmbH,CMI_GR,Europe
China Mobile International (Malaysia) Sdn. Bhd,CMI_MY,APAC
China Mobile International (Singapore) Pte. Ltd,CMI_SG,APAC
China Mobile International (Switzerland) Sàrl,CMI_CHE,Europe
China Mobile International (Thailand) Limited,CMI_TH,APAC
China Mobile International (UK) Limited,CMI_UK,Europe
China Mobile International (USA) Inc,CMI_US,Americas
CHINA MOBILE INTERNATIONAL (VIETNAM) COMPANY LIMITED,CMI_VN,APAC
China Mobile International France SAS,CMI_FR,Europe
China Mobile International K.K.,CMI_JP,APAC
China Mobile International Philippines Representative Office,CMI_PH,APAC
China Mobile International Saudi Limited,CMI_SAU,MENA
CHINA MOBILE INTERNATIONAL(ITALY) S.r.l.,CMI_IT,Europe
China Mobile International(Panama) S.A.,CMI_PA,Americas
"CM (CAMBODIA) INFORMATION TECHNOLOGY CO., LTD.",CMI_KH,APAC
CM International Middle East FZ-LLC,CMI_UAE,MENA
Mainland China Unit - Manufacturing Industry 2 Team,CMI_BJ,Mainland China
Mainland China Unit - Regional Development Team,CMI_BJ,Mainland China
Mainland China Unit - Transportation＆Logistics Business Development Team,CMI_BJ,Mainland China
Mexico Unit,CMI_MX,Americas
PT. Indonesia China Mobile,CMI_IDN,APAC
中国移动国际(越南)有限公司,CMI_VN,APAC
China Mobile International Korea Limited,CMI_KR,APAC
Mainland China Unit - Energy Business Development Team,CMI_BJ,Mainland China
CM International (Kenya) Information Technology Limited,CMI_KEN,STA
China Mobile International (Russia) A Limited Liability Company,CMI_RUS,Euro-Asia
Mainland China Unit-Medical Business Industry Team,CMI_BJ,Mainland China
Mainland China Business Development Center-East China Regional Team,CMI_BJ,Mainland China
Mainland China Business Development Center-South China Regional Team,CMI_BJ,Mainland China
